match_id,datetime,home_team,away_team,scoreline,game_type,initial_lineups,final_lineups,substitution_summary
20250619002743iocaixa-v-iocaixb11-9,2025-06-19 00:27:43,IOSCA MIX A,IOSCA MIX B,11-9,6v6,"{""away"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""Empanada"", ""STEAM_0:0:613214094""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""El acoso es mi personalidad"", ""STEAM_0:0:641661038""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""444"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", null, null], [""LB"", ""shaq"", ""STEAM_0:0:523865819""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""111"", ""STEAM_0:0:887120221""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]]}","{""away"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""Empanada"", ""STEAM_0:0:613214094""], [""RB"", ""polar"", ""STEAM_0:0:495288729""], [""CM"", ""El acoso es mi personalidad"", ""STEAM_0:0:641661038""], [""LW"", ""El acoso es mi personalidad"", ""STEAM_0:0:641661038""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]], ""home"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""kliy"", ""STEAM_0:1:787992769""], [""LW"", ""111"", ""STEAM_0:0:887120221""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]]}",[]
20250618234402iocaixa-v-iocaixb3-6,2025-06-18 23:44:02,IOSCA MIX A,IOSCA MIX B,3-6,6v6,"{""away"": [[""GK"", ""111"", ""STEAM_0:0:887120221""], [""LB"", ""El acoso es mi personalidad"", ""STEAM_0:0:641661038""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""kliy"", ""STEAM_0:1:787992769""], [""LW"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""RW"", ""444"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", ""larry"", ""STEAM_0:1:741203476""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""Empanada"", ""STEAM_0:0:613214094""], [""CM"", ""gio"", ""STEAM_0:0:600668238""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""srv"", ""STEAM_0:1:625844098""]]}","{""away"": [[""GK"", ""larry"", ""STEAM_0:1:741203476""], [""LB"", ""El acoso es mi personalidad"", ""STEAM_0:0:641661038""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LW"", ""kliy"", ""STEAM_0:1:787992769""], [""RW"", ""444"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", ""111"", ""STEAM_0:0:887120221""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""Empanada"", ""STEAM_0:0:613214094""], [""CM"", ""polar"", ""STEAM_0:0:495288729""], [""LW"", ""srv"", ""STEAM_0:1:625844098""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]]}",[]
20250617225907uruguay-v-ukraine4-9,2025-06-17 22:59:07,Uruguay,Ukraine,4-9,6v6,"{""away"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""111"", ""STEAM_0:0:887120221""], [""CM"", ""yeico"", ""STEAM_0:0:838076937""], [""LW"", ""SOY PERUANO"", ""STEAM_0:0:641661038""], [""RW"", ""444"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", null, null], [""LB"", ""shaq"", ""STEAM_0:0:523865819""], [""RB"", ""Empanada"", ""STEAM_0:0:613214094""], [""CM"", ""gio"", ""STEAM_0:0:600668238""], [""LW"", ""0)"", ""STEAM_0:0:842808826""], [""RW"", null, null]]}","{""away"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""ykWiN"", ""STEAM_0:0:837955394""], [""RB"", ""gus"", ""STEAM_0:0:783894272""], [""CM"", ""yeico"", ""STEAM_0:0:838076937""], [""LW"", ""SOY PERUANO"", ""STEAM_0:0:641661038""], [""RW"", ""444"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""shaq"", ""STEAM_0:0:523865819""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""gus"", ""STEAM_0:0:783894272""], [""LW"", ""Empanada"", ""STEAM_0:0:613214094""], [""RW"", ""111"", ""STEAM_0:0:887120221""]]}","[[""home"", [""gio"", ""STEAM_0:0:600668238""], [""DeraviDRV"", ""STEAM_0:0:845055840""]], [""away"", [""ykWiN"", ""STEAM_0:0:837955394""], [""ykWiN"", ""STEAM_0:0:837955394""]]]"
20250617221118uruguay-v-witzerland6-4,2025-06-17 22:11:18,Uruguay,Switzerland,6-4,6v6,"{""away"": [[""GK"", null, null], [""LB"", ""SOY PERUANO"", ""STEAM_0:0:641661038""], [""RB"", ""gus"", ""STEAM_0:0:783894272""], [""CM"", ""Yerzy"", ""STEAM_0:1:795040256""], [""LW"", ""Alexis Vega"", ""STEAM_0:1:627950827""], [""RW"", ""444"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""111"", ""STEAM_0:0:887120221""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""gio"", ""STEAM_0:0:600668238""], [""LW"", ""yeico"", ""STEAM_0:0:838076937""], [""RW"", ""srv"", ""STEAM_0:1:625844098""]]}","{""away"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""SOY PERUANO"", ""STEAM_0:0:641661038""], [""RB"", ""gus"", ""STEAM_0:0:783894272""], [""CM"", ""Yerzy"", ""STEAM_0:1:795040256""], [""LW"", ""Alexis Vega"", ""STEAM_0:1:627950827""], [""RW"", ""444"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""111"", ""STEAM_0:0:887120221""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""gio"", ""STEAM_0:0:600668238""], [""LW"", ""yeico"", ""STEAM_0:0:838076937""], [""RW"", ""srv"", ""STEAM_0:1:625844098""]]}","[[""away"", [""Alexis Vega"", ""STEAM_0:1:627950827""], [""shaq"", ""STEAM_0:0:523865819""]]]"
20250617005703iocaixa-v-iocaixb6-6,2025-06-17 00:57:03,IOSCA MIX A,IOSCA MIX B,6-6,6v6,"{""away"": [[""GK"", ""Empanada"", ""STEAM_0:0:613214094""], [""LB"", ""larry"", ""STEAM_0:1:741203476""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""eSlicer"", ""STEAM_0:0:115494837""], [""LW"", ""ykWiN"", ""STEAM_0:0:837955394""], [""RW"", ""secso"", ""STEAM_0:0:641661038""]], ""home"": [[""GK"", null, null], [""LB"", ""gennaro"", ""STEAM_0:0:31014794""], [""RB"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""CM"", ""polar"", ""STEAM_0:0:495288729""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""Papalito"", ""STEAM_0:1:451783975""]]}","{""away"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""larry"", ""STEAM_0:1:741203476""], [""RB"", ""Empanada"", ""STEAM_0:0:613214094""], [""CM"", ""eSlicer"", ""STEAM_0:0:115494837""], [""LW"", ""ykWiN"", ""STEAM_0:0:837955394""], [""RW"", ""secso"", ""STEAM_0:0:641661038""]], ""home"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""gennaro"", ""STEAM_0:0:31014794""], [""RB"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""CM"", ""polar"", ""STEAM_0:0:495288729""], [""LW"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""RW"", ""Papalito"", ""STEAM_0:1:451783975""]]}",[]
20250617003557iocaixa-v-iocaixb9-5,2025-06-17 00:35:57,IOSCA MIX A,IOSCA MIX B,9-5,6v6,"{""away"": [[""GK"", ""larry"", ""STEAM_0:1:741203476""], [""LB"", ""Empanada"", ""STEAM_0:0:613214094""], [""RB"", ""R1C4RDR0(OR10N)"", ""STEAM_0:1:722278941""], [""CM"", ""0)"", ""STEAM_0:0:842808826""], [""LW"", ""ykWiN"", ""STEAM_0:0:837955394""], [""RW"", ""secso"", ""STEAM_0:0:641661038""]], ""home"": [[""GK"", null, null], [""LB"", ""gennaro"", ""STEAM_0:0:31014794""], [""RB"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""CM"", ""polar"", ""STEAM_0:0:495288729""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""Papalito"", ""STEAM_0:1:451783975""]]}","{""away"": [[""GK"", ""Empanada"", ""STEAM_0:0:613214094""], [""LB"", ""larry"", ""STEAM_0:1:741203476""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""eSlicer"", ""STEAM_0:0:115494837""], [""LW"", ""ykWiN"", ""STEAM_0:0:837955394""], [""RW"", ""secso"", ""STEAM_0:0:641661038""]], ""home"": [[""GK"", ""Empanada"", ""STEAM_0:0:613214094""], [""LB"", ""gennaro"", ""STEAM_0:0:31014794""], [""RB"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""CM"", ""polar"", ""STEAM_0:0:495288729""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""Papalito"", ""STEAM_0:1:451783975""]]}","[[""away"", [""R1C4RDR0(OR10N)"", ""STEAM_0:1:722278941""], [""eSlicer"", ""STEAM_0:0:115494837""]]]"
20250616222130caeroon-v-turkey7-3,2025-06-16 22:21:30,Cameroon,Turkey,7-3,6v6,"{""away"": [[""GK"", null, null], [""LB"", ""2.0 tdi future"", ""STEAM_0:0:510262918""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LW"", ""PELOSDELKUL0"", ""STEAM_0:1:627950827""], [""RW"", ""SRVIOLATOR3000"", ""STEAM_0:1:625844098""]], ""home"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""anthony20fps"", ""STEAM_0:1:788528725""], [""CM"", ""Empanada"", ""STEAM_0:0:613214094""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""me meto?"", ""STEAM_0:1:451783975""]]}","{""away"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""2.0 tdi future"", ""STEAM_0:0:510262918""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""PELOSDELKUL0"", ""STEAM_0:1:627950827""], [""LW"", ""Krythx"", ""STEAM_0:1:126572080""], [""RW"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""]], ""home"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""Deravi"", ""STEAM_0:0:845055840""], [""CM"", ""Empanada"", ""STEAM_0:0:613214094""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""me meto?"", ""STEAM_0:1:451783975""]]}","[[""away"", [""SRVIOLATOR3000"", ""STEAM_0:1:625844098""], [""Krythx"", ""STEAM_0:1:126572080""]], [""home"", [""anthony20fps"", ""STEAM_0:1:788528725""], [""Deravi"", ""STEAM_0:0:845055840""]], [""home"", [""BrandonBQM"", ""STEAM_0:1:588628560""], [""0)"", ""STEAM_0:0:842808826""]]]"
20250616204309portugal-v-uruguay7-4,2025-06-16 20:43:09,Portugal,Uruguay,7-4,6v6,"{""away"": [[""GK"", ""ChetosDeQueso"", ""STEAM_0:0:565662550""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""Deravi"", ""STEAM_0:0:845055840""], [""CM"", ""Empanada"", ""STEAM_0:0:613214094""], [""LW"", ""PeHyon"", ""STEAM_0:1:627950827""], [""RW"", ""srv"", ""STEAM_0:1:625844098""]], ""home"": [[""GK"", ""VINI JR CON aparacetamol"", ""STEAM_0:1:705029347""], [""LB"", ""eSlicer"", ""STEAM_0:0:115494837""], [""RB"", ""anthony20fps"", ""STEAM_0:1:788528725""], [""CM"", ""gio"", ""STEAM_0:0:600668238""], [""LW"", ""Bicho"", ""STEAM_0:1:776748154""], [""RW"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""]]}","{""away"": [[""GK"", ""VINI JR CON aparacetamol"", ""STEAM_0:1:705029347""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""Deravi"", ""STEAM_0:0:845055840""], [""CM"", ""Deravi"", ""STEAM_0:0:845055840""], [""LW"", ""ChetosDeQueso"", ""STEAM_0:0:565662550""], [""RW"", ""VINI JR CON aparacetamol"", ""STEAM_0:1:705029347""]], ""home"": [[""GK"", ""VINI JR CON aparacetamol"", ""STEAM_0:1:705029347""], [""LB"", ""anthony20fps"", ""STEAM_0:1:788528725""], [""RB"", ""eSlicer"", ""STEAM_0:0:115494837""], [""CM"", ""gio"", ""STEAM_0:0:600668238""], [""LW"", ""Bicho"", ""STEAM_0:1:776748154""], [""RW"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""]]}",[]
20250615201546iocaixa-v-iocaixb3-3,2025-06-15 20:15:46,IOSCA MIX A,IOSCA MIX B,3-3,6v6,"{""away"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""PeHyon"", ""STEAM_0:1:627950827""], [""RB"", ""anthony20fps"", ""STEAM_0:1:788528725""], [""CM"", ""Deravi"", ""STEAM_0:0:845055840""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""Alexis Verga"", ""STEAM_0:0:495288729""]], ""home"": [[""GK"", ""Remek"", ""STEAM_0:1:214000901""], [""LB"", ""larry"", ""STEAM_0:1:741203476""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""gus"", ""STEAM_0:0:783894272""], [""LW"", ""hilagonza2106"", ""STEAM_0:0:853409596""], [""RW"", ""Bicho"", ""STEAM_0:1:776748154""]]}","{""away"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""PeHyon"", ""STEAM_0:1:627950827""], [""RB"", ""anthony20fps"", ""STEAM_0:1:788528725""], [""CM"", ""Deravi"", ""STEAM_0:0:845055840""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""Alexis Verga"", ""STEAM_0:0:495288729""]], ""home"": [[""GK"", ""Pepe Martines 1.2.1"", ""STEAM_0:1:846551844""], [""LB"", ""larry"", ""STEAM_0:1:741203476""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""gus"", ""STEAM_0:0:783894272""], [""LW"", ""hilagonza2106"", ""STEAM_0:0:853409596""], [""RW"", ""Bicho"", ""STEAM_0:1:776748154""]]}",[]
20250615012441iocaixa-v-iocaixb12-10,2025-06-15 01:24:41,IOSCA MIX A,IOSCA MIX B,12-10,6v6,"{""away"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""Kq"", ""STEAM_0:1:590458372""], [""RB"", ""Empanada"", ""STEAM_0:0:613214094""], [""CM"", ""0)"", ""STEAM_0:0:842808826""], [""LW"", ""Papalito"", ""STEAM_0:1:451783975""], [""RW"", ""Pisco"", ""STEAM_0:0:423977434""]], ""home"": [[""GK"", ""Pepe 1.2.0 .Ra.r"", ""STEAM_0:1:846551844""], [""LB"", ""srv"", ""STEAM_0:1:625844098""], [""RB"", ""shaq"", ""STEAM_0:0:523865819""], [""CM"", ""Pipetm"", ""STEAM_0:0:621872754""], [""LW"", ""Alexis Verga"", ""STEAM_0:0:495288729""], [""RW"", ""Chino Muerta"", ""STEAM_0:0:641661038""]]}","{""away"": [[""GK"", ""Empanada"", ""STEAM_0:0:613214094""], [""LB"", ""anthony20fps"", ""STEAM_0:1:788528725""], [""RB"", ""Kq"", ""STEAM_0:1:590458372""], [""CM"", ""0)"", ""STEAM_0:0:842808826""], [""LW"", ""Pepe 1.2.0 .Ra.r"", ""STEAM_0:1:846551844""], [""RW"", ""Pisco"", ""STEAM_0:0:423977434""]], ""home"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""srv"", ""STEAM_0:1:625844098""], [""RB"", ""shaq"", ""STEAM_0:0:523865819""], [""CM"", ""Chino Muerta"", ""STEAM_0:0:641661038""], [""LW"", ""Alexis Verga"", ""STEAM_0:0:495288729""], [""RW"", ""Pipetm"", ""STEAM_0:0:621872754""]]}","[[""away"", [""Papalito"", ""STEAM_0:1:451783975""], [""anthony20fps"", ""STEAM_0:1:788528725""]]]"
20250615005351iocaixa-v-iocaixb7-6,2025-06-15 00:53:51,IOSCA MIX A,IOSCA MIX B,7-6,6v6,"{""away"": [[""GK"", null, null], [""LB"", ""Pepe 1.2.0 .Ra.r"", ""STEAM_0:1:846551844""], [""RB"", ""Pipetm"", ""STEAM_0:0:621872754""], [""CM"", ""larry"", ""STEAM_0:1:741203476""], [""LW"", ""Alexis Verga"", ""STEAM_0:0:495288729""], [""RW"", ""Chino Muerta"", ""STEAM_0:0:641661038""]], ""home"": [[""GK"", ""ChetosDeQueso"", ""STEAM_0:0:565662550""], [""LB"", ""anthony20fps"", ""STEAM_0:1:788528725""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""Kq"", ""STEAM_0:1:590458372""], [""RW"", ""Papalito"", ""STEAM_0:1:451783975""]]}","{""away"": [[""GK"", ""Pisco"", ""STEAM_0:0:423977434""], [""LB"", ""Pepe 1.2.0 .Ra.r"", ""STEAM_0:1:846551844""], [""RB"", ""Pipetm"", ""STEAM_0:0:621872754""], [""CM"", ""Alexis Verga"", ""STEAM_0:0:495288729""], [""LW"", ""Alexis Verga"", ""STEAM_0:0:495288729""], [""RW"", ""Chino Muerta"", ""STEAM_0:0:641661038""]], ""home"": [[""GK"", ""Pisco"", ""STEAM_0:0:423977434""], [""LB"", ""shaq"", ""STEAM_0:0:523865819""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""Papalito"", ""STEAM_0:1:451783975""], [""RW"", ""Churrito"", ""STEAM_0:1:456522099""]]}","[[""home"", [""Kq"", ""STEAM_0:1:590458372""], [""Empanada"", ""STEAM_0:0:613214094""]], [""home"", [""anthony20fps"", ""STEAM_0:1:788528725""], [""shaq"", ""STEAM_0:0:523865819""]], [""home"", [""ChetosDeQueso"", ""STEAM_0:0:565662550""], [""Churrito"", ""STEAM_0:1:456522099""]], [""away"", [""larry"", ""STEAM_0:1:741203476""], [""Pisco"", ""STEAM_0:0:423977434""]]]"
20250614214528iocaixa-v-iocaixb5-4,2025-06-14 21:45:28,IOSCA MIX A,IOSCA MIX B,5-4,6v6,"{""away"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""Pepe Martines"", ""STEAM_0:1:846551844""], [""RB"", ""khy"", ""STEAM_0:1:788528725""], [""CM"", ""franco vidal"", ""STEAM_0:0:838076937""], [""LW"", ""PeHyon"", ""STEAM_0:1:627950827""], [""RW"", ""Empanada"", ""STEAM_0:0:613214094""]], ""home"": [[""GK"", null, null], [""LB"", ""larry"", ""STEAM_0:1:741203476""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""gus"", ""STEAM_0:0:783894272""]]}","{""away"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""Pepe Martines"", ""STEAM_0:1:846551844""], [""RB"", ""polar"", ""STEAM_0:0:495288729""], [""CM"", ""franco vidal"", ""STEAM_0:0:838076937""], [""LW"", ""PeHyon"", ""STEAM_0:1:627950827""], [""RW"", ""Empanada"", ""STEAM_0:0:613214094""]], ""home"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""larry"", ""STEAM_0:1:741203476""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""gus"", ""STEAM_0:0:783894272""]]}",[]
20250614154443iocaixa-v-iocaixb10-8,2025-06-14 15:44:43,IOSCA MIX A,IOSCA MIX B,10-8,6v6,"{""away"": [[""GK"", ""Pepe 1.2.0 .Ra.r"", ""STEAM_0:1:846551844""], [""LB"", ""Empanada"", ""STEAM_0:0:613214094""], [""RB"", ""Loki"", ""STEAM_0:0:631503315""], [""CM"", ""muy lento"", ""STEAM_0:1:6064525""], [""LW"", ""CARRILLO"", ""STEAM_0:1:627950827""], [""RW"", ""Papalito"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", ""Pepe 1.2.0 .Ra.r"", ""STEAM_0:1:846551844""], [""LB"", ""Bicho"", ""STEAM_0:1:776748154""], [""RB"", ""gus"", ""STEAM_0:0:783894272""], [""CM"", null, null], [""LW"", ""Roberto Alvarado"", ""STEAM_0:0:495288729""], [""RW"", ""Jhon duran"", ""STEAM_0:1:625844098""]]}","{""away"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""Empanada"", ""STEAM_0:0:613214094""], [""RB"", ""Loki"", ""STEAM_0:0:631503315""], [""CM"", ""muy lento"", ""STEAM_0:1:6064525""], [""LW"", ""CARRILLO"", ""STEAM_0:1:627950827""], [""RW"", ""Papalito"", ""STEAM_0:1:451783975""]], ""home"": [[""GK"", ""0)"", ""STEAM_0:0:842808826""], [""LB"", ""Bicho"", ""STEAM_0:1:776748154""], [""RB"", ""Pepe 1.2.0 .Ra.r"", ""STEAM_0:1:846551844""], [""CM"", ""Roberto Alvarado"", ""STEAM_0:0:495288729""], [""LW"", ""kliy"", ""STEAM_0:1:787992769""], [""RW"", ""Jhon duran"", ""STEAM_0:1:625844098""]]}","[[""home"", [""gus"", ""STEAM_0:0:783894272""], [""kliy"", ""STEAM_0:1:787992769""]], [""away"", [""Loki"", ""STEAM_0:0:631503315""], [""0)"", ""STEAM_0:0:842808826""]], [""away"", [""BONDICKER"", ""STEAM_0:0:709800576""], [""BONDICKER"", ""STEAM_0:0:709800576""]]]"
20250611223948iocaixa-v-iocaixb5-6,2025-06-11 22:39:48,IOSCA MIX A,IOSCA MIX B,5-6,6v6,"{""away"": [[""GK"", ""ChetosDeQueso"", ""STEAM_0:0:565662550""], [""LB"", ""gennaro"", ""STEAM_0:0:31014794""], [""RB"", ""secso"", ""STEAM_0:0:641661038""], [""CM"", ""Papalito"", ""STEAM_0:1:451783975""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]], ""home"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""Empanada"", ""STEAM_0:0:613214094""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""Fallen"", ""STEAM_0:1:4812742""]]}","{""away"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""gennaro"", ""STEAM_0:0:31014794""], [""RB"", ""secso"", ""STEAM_0:0:641661038""], [""CM"", ""Empanada"", ""STEAM_0:0:613214094""], [""LW"", ""Snowy"", ""STEAM_0:0:566727630""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]], ""home"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", ""gus"", ""STEAM_0:0:783894272""], [""RB"", ""0)"", ""STEAM_0:0:842808826""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""Fallen"", ""STEAM_0:1:4812742""]]}",[]
20250611214112unitedtate-v-portugal5-6,2025-06-11 21:41:12,United States,Portugal,5-6,6v6,"{""away"": [[""GK"", ""SkyyNet"", ""STEAM_0:1:10197940""], [""LB"", ""secso"", ""STEAM_0:0:641661038""], [""RB"", ""gus"", ""STEAM_0:0:783894272""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""yeico"", ""STEAM_0:0:838076937""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]], ""home"": [[""GK"", ""VINI JR CON aparacetamol"", ""STEAM_0:1:705029347""], [""LB"", ""Snowy"", ""STEAM_0:0:566727630""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""peniix"", ""STEAM_0:0:536431230""], [""LW"", ""ykwin"", ""STEAM_0:0:837955394""], [""RW"", ""Fallen"", ""STEAM_0:1:4812742""]]}","{""away"": [[""GK"", ""SkyyNet"", ""STEAM_0:1:10197940""], [""LB"", ""secso"", ""STEAM_0:0:641661038""], [""RB"", ""gus"", ""STEAM_0:0:783894272""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""yeico"", ""STEAM_0:0:838076937""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]], ""home"": [[""GK"", ""SkyyNet"", ""STEAM_0:1:10197940""], [""LB"", ""Snowy"", ""STEAM_0:0:566727630""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""peniix"", ""STEAM_0:0:536431230""], [""LW"", ""ykwin"", ""STEAM_0:0:837955394""], [""RW"", ""Fallen"", ""STEAM_0:1:4812742""]]}","[[""away"", [""TapInMerchant"", ""STEAM_0:0:945491378""], [""TapInMerchant"", ""STEAM_0:0:945491378""]]]"
